, Top 1(#), Top 5(#), Top 10(#), MAP(#), MRR(#), Instances(#), Top 1(%), Top 5(%), Top 10(%), MAP(%), MRR(%)
Lang::6200304, 192, 192, 192, 193.71, 193.71, 300, 64.00, 64.00, 64.00, 64.57, 64.57
Lang::4200209, 128, 128, 224, 143.43, 143.43, 350, 36.57, 36.57, 64.00, 40.98, 40.98
Lang::4200208, 128, 128, 224, 141.44, 141.44, 350, 36.57, 36.57, 64.00, 40.41, 40.41
Lang::4200212, 107, 107, 203, 120.56, 120.56, 325, 32.92, 32.92, 62.46, 37.10, 37.10
Lang::4200195, 102, 102, 102, 112.51, 112.51, 350, 29.14, 29.14, 29.14, 32.14, 32.14
Lang::4200196, 102, 102, 102, 112.79, 112.79, 350, 29.14, 29.14, 29.14, 32.23, 32.23
Lang::4200210, 32, 112, 112, 81.93, 81.93, 350, 9.14, 32.00, 32.00, 23.41, 23.41
Lang::6200303, 16, 16, 112, 37.74, 37.74, 300, 5.33, 5.33, 37.33, 12.58, 12.58
Lang::4200198, 11, 11, 125, 31.63, 31.63, 350, 3.14, 3.14, 35.71, 9.04, 9.04
Lang::4200203, 11, 11, 125, 31.63, 31.63, 350, 3.14, 3.14, 35.71, 9.04, 9.04
Lang::6200400, 0, 0, 0, 0.00, 0.00, 300, 0.00, 0.00, 0.00, 0.00, 0.00
Lang::6200301, 0, 18, 18, 13.57, 13.57, 325, 0.00, 5.54, 5.54, 4.18, 4.18
Lang::6200401, 0, 160, 191, 48.64, 48.64, 325, 0.00, 49.23, 58.77, 14.97, 14.97
Lang::6200302, 0, 108, 124, 26.25, 26.25, 300, 0.00, 36.00, 41.33, 8.75, 8.75
Lang::6200387, 0, 0, 0, 0.00, 0.00, 325, 0.00, 0.00, 0.00, 0.00, 0.00
Lang::6200300, 0, 18, 34, 13.48, 13.48, 325, 0.00, 5.54, 10.46, 4.15, 4.15
Lang::6200305, 0, 0, 0, 0.00, 0.00, 300, 0.00, 0.00, 0.00, 0.00, 0.00
Lang::6200402, 0, 192, 208, 99.57, 99.57, 325, 0.00, 59.08, 64.00, 30.64, 30.64
Lang::4200199, 0, 45, 90, 32.61, 32.61, 300, 0.00, 15.00, 30.00, 10.87, 10.87
Lang::4200211, 0, 0, 54, 14.76, 14.76, 300, 0.00, 0.00, 18.00, 4.92, 4.92
Lang::4200197, 0, 27, 27, 12.34, 12.34, 275, 0.00, 9.82, 9.82, 4.49, 4.49
Lang::6200398, 0, 192, 192, 54.27, 54.27, 300, 0.00, 64.00, 64.00, 18.09, 18.09
Lang::6200299, 0, 18, 34, 13.48, 13.48, 325, 0.00, 5.54, 10.46, 4.15, 4.15
Lang::6200399, 0, 16, 16, 14.85, 14.85, 300, 0.00, 5.33, 5.33, 4.95, 4.95
Lang::4200192, 0, 64, 96, 35.92, 35.92, 400, 0.00, 16.00, 24.00, 8.98, 8.98
Lang::6200393, 0, 135, 135, 36.02, 36.02, 350, 0.00, 38.57, 38.57, 10.29, 10.29
Lang::6200396, 0, 0, 45, 7.49, 7.49, 125, 0.00, 0.00, 36.00, 6.00, 6.00
Lang::6200397, 0, 0, 0, 7.59, 7.59, 300, 0.00, 0.00, 0.00, 2.53, 2.53
Lang::6200394, 0, 145, 183, 44.51, 44.51, 350, 0.00, 41.43, 52.29, 12.72, 12.72
Lang::6200395, 0, 145, 183, 44.51, 44.51, 350, 0.00, 41.43, 52.29, 12.72, 12.72
Lang::4200207, 0, 0, 0, 0.00, 0.00, 275, 0.00, 0.00, 0.00, 0.00, 0.00
Lang::4200206, 0, 0, 0, 0.00, 0.00, 275, 0.00, 0.00, 0.00, 0.00, 0.00
Lang::4200202, 0, 27, 54, 20.84, 20.84, 300, 0.00, 9.00, 18.00, 6.95, 6.95
Lang::4200205, 0, 0, 0, 0.00, 0.00, 300, 0.00, 0.00, 0.00, 0.00, 0.00
Lang::4200204, 0, 0, 0, 0.00, 0.00, 300, 0.00, 0.00, 0.00, 0.00, 0.00
Lang::4200201, 0, 11, 107, 23.77, 23.77, 350, 0.00, 3.14, 30.57, 6.79, 6.79
Lang::4200200, 0, 0, 27, 11.17, 11.17, 275, 0.00, 0.00, 9.82, 4.06, 4.06